目标	变量1	变量2	变量3	变量4	变量5	变量6	变量7	变量8	变量9	变量10	变量11
-0.70028412	83.875	1.8325	1.4075	5	6	6.7500471	6.258748075	823.7291667	0.155588889	5.472222222	0.545246397
-0.66606732	95.0625	1.5425	1.5675	4	6	6.91498295	6.59265744	826.546875	0.093675	5	0.955276019
-0.620346	105.425	1.905	2.2275	4.75	11	7.1630805	8.43843	271.0208333	0.184140972	1.1875	0.960952074
-0.6155368	105.3125	1.7975	1.29	4.5	3.5	7.3879405	5.783764825	614.1440972	0.074940972	2	1.131224668
-0.59085672	96.0625	1.5425	1.72	4	6	6.91498295	7.045871075	710.2135417	0.062285417	5	0.681776683
-0.57775692	98.8375	1.7325	1.5475	4.25	6	6.8465015	6.60791831	574.8524306	0.1835	4.743055556	1.507325059
-0.5587814	97.975	1.765	1.595	4.75	6	6.87098	6.833144615	285.3630556	0.277313889	3.243055556	1.246495024
-0.554895	109.4375	1.7025	1.125	4.25	3.5	6.885198	5.30827556	407.2552083	0.176352083	2.576388889	1.446525491
-0.5265316	97.9375	1.5425	1.29	4	3.5	6.91498295	5.783764825	869.5885417	0.058174306	3.638888889	0.682602721
-0.42082932	89.4	1.79	1.4075	4.75	6	6.8862727	6.258748075	599.3222222	0.200707639	5.6875	1.344493984
-0.3984852	81.5375	2.135	1.6575	5.75	8.5	7.29921175	7.079554175	73.46409722	0.199052083	2.909722222	1.007944167
-0.31547932	94.025	1.62	1.4075	5.25	6	6.75469725	6.258748075	387.6208333	0.214585417	3.743055556	1.453522982
-0.31123592	100.1125	1.715	1.33	4.5	3.5	6.812409	6.046527631	520.3690972	0.256897222	3.055555556	1.100246341
-0.2417044	94.725	1.77	1.8375	7.5	8.5	6.84359	7.47997044	281.8675	0.197890972	6.75	1.452829823
-0.23079412	99.1125	2.0025	1.33	8.5	3.5	7.10986175	6.046527631	574.2490972	0.246240972	17.72222222	1.081450953
-0.2220448	113.3	1.82	1.9575	4.5	8.5	6.6186253	7.551117	305.0966667	0.165124306	3.25	1.287537996
-0.2021884	87.375	1.805	1.99	4.75	8.5	7.12903685	7.89230019	847.9791667	0.140313889	5.409722222	0.857667372
-0.1180678	85.425	1.8825	1.4075	5	6	6.9429471	6.258748075	760.2958333	0.193088889	5.472222222	0.873425825
-0.0779204	98.975	1.93	1.645	4.5	8.5	6.9329188	6.763994	493.1275	0.135180556	4.25	1.039582259
-0.0638986	93.3875	1.82	2.0675	5	11	6.72742925	8.06363675	356.8124306	0.11636875	4.5	1.356870081
-0.0238588	98.75	1.5025	2.2275	4.5	11	6.0450246	8.43843	718.0880556	0.139063889	2.25	0.746802772
-0.0199434	101.1	1.9975	1.5675	5	6	7.63842725	6.59265744	546.5088889	0.279030556	2.472222222	1.711549417
0.000679	92.975	2.175	1.145	5.75	3.5	7.2187288	5.54541535	721.0963889	0.20735	3.1875	1.236954365
0.15344952	102.675	1.715	1.5675	4.75	6	6.67808	6.59265744	504.3097222	0.253752083	3.243055556	1.171061961
0.24083932	97.1125	1.2575	1.99	3	8.5	5.8392071	7.89230019	467.6657639	0.24086875	6.75	1.488119225
0.25438512	97.275	2.2825	1.415	5.75	6	8.05011975	6.18032769	569.0475	0.30891875	0.243055556	2.139010047
0.2788166	106.075	1.72	1.555	5	6	6.7546725	6.529497925	408.4275	0.260605556	5.472222222	1.115556188
0.28966072	102.35	1.765	1.9975	4.75	8.5	6.87098	7.85476369	305.3422222	0.272474306	2.6875	1.350822151
0.2924434	91.6125	1.985	1.7975	4.5	8.5	6.73538255	7.217207635	715.5690972	0.217235417	3.5	1.178860614
0.30913332	108.225	2.01	1.375	6	6	7.15679	5.876681	582.5275	0.260425	1.888888889	1.977205773
0.33151532	109.725	1.905	1.375	4.75	6	6.7632538	5.876681	353.3275	0.278125	3.243055556	1.501076857
0.38523732	103.7375	1.7775	1.5675	8.25	6	6.67313275	6.59265744	496.7824306	0.259172222	16.90972222	1.696049859
0.44087892	94.3	1.6275	1.4075	4	6	6.40479795	6.21786419	661.0222222	0.119230556	5.388888889	0.549817335
0.4448504	96.9	2.05	1.595	5.5	6	7.2826725	6.833144615	252.7255556	0.303005556	0.972222222	1.228241524
0.4776214	89.7375	1.725	1.4075	4	6	6.34692505	6.21786419	893.9274306	0.113407639	5.388888889	0.564731032
0.55584252	90.7375	1.7425	1.6375	3.75	8.5	6.4633534	6.8015305	902.5135417	0.059697222	6.1875	0.468627362
0.6336706	100.225	1.79	1.645	4.5	8.5	7.040645	6.763994	402.3497222	0.094580556	4.25	1.023517948
0.6381646	95.575	1.7525	1.8375	6	8.5	6.7275925	7.47997044	256.6163889	0.209063889	1.888888889	1.514492105
0.70207552	93.6	1.9975	1.4075	5	6	7.63842725	6.21786419	678.8855556	0.254622222	2.472222222	1.754387975
0.73368712	109.6	2.035	1.5275	5.75	6	7.326455	6.28901075	228.0066667	0.309824306	3.076388889	1.689826521
0.74033432	97.85	2.105	1.5675	6.25	6	7.6595325	6.59265744	738.4033333	0.277807639	1.243055556	1.502853193
0.7455376	97.4625	2.1725	2.0825	5.25	11	7.3944646	7.98856375	262.276875	0.032930556	1.6875	0.788911694
0.7465886	104.6	2.225	1.72	5.75	6	7.5265015	7.00498719	648.3533333	0.274230556	0.243055556	0.516152039
0.7796484	100.025	2.2825	1.5675	5.75	6	8.05011975	6.59265744	640.5475	0.320988889	0.243055556	1.816391215
0.79255412	88.425	1.9	1.8375	8	8.5	6.78492485	7.47997044	646.6480556	0.134352083	10.72222222	1.607677139
0.7935934	90.9625	2.1725	1.595	5.25	6	7.3944646	6.833144615	536.466875	0.263090972	2.1875	0.999580885
0.8153616	92.9125	1.8	1.8375	4.75	8.5	6.9570375	7.47997044	412.1824306	0.184624306	2.6875	1.126293581
0.8197144	101.85	2.235	1.7975	6.25	8.5	7.593519	7.17632375	704.3866667	0.274340972	1.243055556	1.842577352
0.82151612	102.475	1.9725	1.5675	5.25	6	7.46876225	6.59265744	620.7741667	0.288722222	1.243055556	1.47113129
0.857547	102.6	1.765	1.3175	4.75	3.5	6.87098	5.983368115	542.2255556	0.327757639	3.076388889	1.027182129
0.88116892	104.1125	2.0025	1.7975	8.5	8.5	7.10986175	7.17632375	494.0102083	0.218988889	9.138888889	1.745666457
0.88475652	96.6875	1.8325	2.2275	9	11	7.04999275	8.43843	524.326875	0.135713889	1.5	1.700921206
0.88547452	98.3	2.195	2.2275	6.75	11	7.4676365	8.43843	527.1888889	0.015240972	1.6875	0.548430205
0.895895	99.725	1.765	2.075	4.75	11	6.87098	8.02610025	248.4297222	0.127180556	1.6875	1.292216971
0.90636092	111.8375	1.215	0.8475	6.5	1	6.1094955	4.499382945	340.0585417	0.008835417	12.25	0.180469923
0.91639792	92.775	2.32	1.595	6.5	6	7.7381475	6.833144615	423.9408333	0.296180556	0.972222222	0.905371225
0.9188624	97.275	2.32	1.5675	6.5	6	7.7381475	6.633541325	475.2408333	0.330807639	0.972222222	1.431811536
0.9198858	104.225	1.765	1.5675	4.75	6	6.87098	6.59265744	454.5297222	0.271057639	3.243055556	1.266398469
0.92772392	100.975	1.965	1.33	5.25	3.5	7.138044	6.046527631	451.7897222	0.288563889	1.076388889	0.996850812
0.9359724	99.7375	2.0475	1.7975	9.25	8.5	7.12860775	7.17632375	710.1490972	0.244155556	1.243055556	1.983652928
0.9571712	98.475	2.2425	1.7975	6.25	8.5	7.92423725	7.17632375	764.8963889	0.269955556	1.243055556	1.724484079
0.96567352	106.675	1.455	1.5675	4.25	6	6.2896225	6.59265744	341.7208333	0.219207639	4.1875	1.009197814
0.9664654	102.4875	1.8025	1.7975	8	8.5	6.84279775	7.17632375	496.8907639	0.174966667	10.72222222	1.630464157
0.99382012	106.9	2.32	1.2775	6.5	3.5	7.7381475	5.679721425	526.23	0.290524306	0.972222222	0.705281203
1.0064166	102.85	2.035	1.72	5.75	6	7.326455	7.00498719	619.7366667	0.303297222	3.243055556	0.592282436
1.0544966	106.15	1.4675	1.7975	5.25	8.5	6.3159	7.17632375	400.3455556	0.181563889	4.243055556	1.34340567
1.0708494	107.3	2.15	1.95	6	8.5	7.4488905	7.5886535	460.15	0.189622222	1.5	1.013981236
1.074153	105.475	2.105	1.9575	6.25	8.5	7.6595325	7.551117	168.5275	0.233174306	1.076388889	1.506464349
1.0782856	91.35	1.9125	1.8375	4.75	8.5	6.81649045	7.47997044	518.6755556	0.187197222	2.6875	1.334831195
1.09008252	96.1875	2.0075	2.2275	9.75	11	7.00272525	8.43843	518.9102083	0.127780556	1.6875	1.628889507
1.12614212	98.6	2.035	1.5475	5.75	6	7.326455	6.567034425	783.3255556	0.27356875	3.076388889	1.425504299
1.15415672	94.4	2.32	1.845	6.5	8.5	7.7381475	7.44243394	386.4033333	0.189513889	0.972222222	0.776960338
1.1559974	88.975	2.2425	1.8375	6.25	8.5	7.92423725	7.47997044	603.4563889	0.180863889	1.243055556	0.911202451
1.1699048	104.5	1.76	1.5675	4.5	6	6.880555	6.59265744	457.6555556	0.274857639	4.5	1.251419737
1.21772612	98.1	1.9125	1.645	4.75	8.5	6.81649045	6.763994	669.3588889	0.15176875	3.076388889	1.091091598
1.221728	113.475	1.965	1.9575	5.25	8.5	7.138044	7.551117	292.7941667	0.254057639	1.1875	1.202496314
1.3188378	98.275	2.08	1.9775	8	8.5	7.4249475	7.829140675	470.4808333	0.264074306	5.888888889	1.178418383
1.32447012	101.6	1.765	1.645	4.75	8.5	6.87098	6.763994	358.64	0.103372222	3.076388889	1.089686412
1.3271024	103.1	1.905	1.7975	4.75	8.5	6.7632538	7.17632375	588.5422222	0.222540972	3.076388889	1.268332508
1.341591	91.975	2.105	1.145	6.25	3.5	7.6595325	5.54541535	680.2963889	0.212305556	1.076388889	1.54926183
1.37569512	92.225	2	1.8375	5.5	8.5	7.0897725	7.47997044	414.9897222	0.201852083	0.75	1.106470402
1.41878612	96.6	2.2425	2.2275	6.25	11	7.92423725	8.43843	581.7088889	0.0172	1.1875	0.383002129
1.4339136	103.225	1.965	1.645	5.25	8.5	7.138044	6.763994	386.3408333	0.16975	1.1875	1.450431683
1.4369874	104.6	1.99	1.7975	5	8.5	7.307709	7.17632375	470.9422222	0.193885417	2.388888889	1.521566794
1.46324152	107.1	1.765	1.29	4.75	3.5	6.87098	5.783764825	454.6255556	0.334563889	3.076388889	1.03469048
1.47279472	96.725	1.765	1.4075	4.75	6	6.87098	6.21786419	480.9897222	0.191574306	3.243055556	1.071164121
1.51420072	102.6	1.765	1.7975	4.75	8.5	6.87098	7.217207635	324.8088889	0.200185417	3.076388889	1.520974278
1.51537732	88.1	2.175	1.3875	5.75	6	7.2187288	6.23312506	453.13	0.254135417	3.076388889	1.60132035
1.5190656	100.225	2.235	1.5475	6.25	6	7.593519	6.567034425	745.1963889	0.284974306	1.243055556	1.337652228
1.5315756	92.375	2.005	1.8375	5.75	8.5	7.166365	7.47997044	409.6897222	0.200802083	3.243055556	1.290603728
1.54909172	94.3625	1.985	2.22	5.5	11	7.267884	8.4759665	670.996875	0.065563889	3.25	0.637183919
1.55047912	101.875	1.76	1.645	4.5	8.5	6.880555	6.763994	356.9563889	0.105713889	4.25	1.079991083
1.605922	78.5625	1.65	1.6575	7.25	8.5	6.45928985	7.079554175	83.06854167	0.088235417	10.40972222	0.688533284
1.60614092	100.225	2.035	1.7975	5.75	8.5	7.326455	7.17632375	674.9963889	0.178790972	3.243055556	1.239127191
1.6426168	101.975	1.835	1.5675	5.25	6	7.2040575	6.59265744	603.2408333	0.253357639	1.1875	1.390498019
1.6461626	104.225	2.0125	1.52	6.25	6	7.14039	6.367431135	603.5941667	0.321485417	1.243055556	1.709933515
1.6575538	106.65	2.32	1.9575	6.5	8.5	7.7381475	7.551117	170.4466667	0.304840972	0.75	1.542907233
1.6963976	103.15	2.05	1.5675	5.5	6	7.2826725	6.59265744	557.5266667	0.302090972	0.972222222	1.348243148
1.72381672	104.2875	1.8625	1.29	4.75	3.5	6.8131071	5.74288094	876.066875	0.282740972	2.409722222	1.036127517
1.74868712	98.85	2.01	1.645	6	8.5	7.15679	6.763994	622.4088889	0.165025	2	1.496188786
1.7576026	89.75	1.86	1.79	8.5	8.5	6.65904235	7.254744135	972.755	0.103016667	12.13888889	0.991681984
1.76271152	107.125	2.0625	1.29	6.5	3.5	7.30895	5.74288094	647.5275	0.323490972	0.972222222	0.94765435
1.7649002	94.1	2	1.4075	5.5	6	7.0897725	6.21786419	671.8022222	0.212352083	0.972222222	1.220522872
1.7874358	98.35	2.035	2.2275	5.75	11	7.326455	8.43843	471.7755556	0.140424306	3.1875	1.035636562
1.78931832	92.125	1.76	1.17	4.5	3.5	6.880555	5.671734381	519.5563889	0.267788889	4.25	1.009122835
1.79778712	98.1625	1.8625	1.5475	4.75	6	6.8131071	6.567034425	627.7757639	0.261166667	3.243055556	1.074315594
